# To display the perf.data header info, please use --header/--header-only options.
#
# comm: nerd
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/Pu'
# Event count (approx.): 235456187
#
# Overhead  Shared Object         Symbol                                    
# ........  ....................  ..........................................
#
     0.02%  [unknown]             [k] 0xffffffffb86a61a0
     0.02%  libc.so.6             [.] 0x000000000006b516
     0.02%  libc.so.6             [.] 0x00000000000754d0
     0.02%  nerd                  [.] llvm_collect_addressed_locals
     0.02%  nerd                  [.] string_format
     0.02%  libc.so.6             [.] 0x00000000001b1fcc
     0.02%  libc.so.6             [.] 0x000000000007568f
     0.02%  nerd                  [.] llvm_emit_return
     0.02%  libc.so.6             [.] __mprotect
     0.02%  libc.so.6             [.] 0x00000000000772c8
     0.02%  libc.so.6             [.] 0x000000000007583d
     0.02%  libc.so.6             [.] 0x00000000000756c8
     0.02%  libc.so.6             [.] 0x000000000006b54f
     0.02%  nerd                  [.] sb_to_string
     0.02%  [unknown]             [k] 0xffffffffb86a9070
     0.02%  libc.so.6             [.] 0x00000000000774c0
     0.02%  libc.so.6             [.] 0x000000000006b558
     0.02%  [unknown]             [k] 0xffffffffb86a63c1
     0.02%  libc.so.6             [.] 0x00000000001b88f6
     0.02%  libc.so.6             [.] 0x00000000001b88d5
     0.02%  [unknown]             [k] 0xffffffffb9a18365
     0.02%  [unknown]             [k] 0xffffffffb9a185bb
     0.02%  libc.so.6             [.] 0x00000000000755b3
     0.01%  [unknown]             [k] 0xffffffffb850410b
     0.01%  libc.so.6             [.] 0x00000000001b15f6
     0.01%  [unknown]             [k] 0xffffffffb9a120ba
     0.01%  libc.so.6             [.] 0x00000000001b803a
     0.01%  [unknown]             [k] 0xffffffffb84000c8
     0.01%  libc.so.6             [.] 0x00000000001b7f84
     0.01%  libc.so.6             [.] realloc
     0.01%  libc.so.6             [.] 0x0000000000075581
     0.01%  ld-linux-x86-64.so.2  [.] 0x000000000001c791
     0.01%  libc.so.6             [.] 0x000000000006adbf
     0.01%  libc.so.6             [.] 0x0000000000075810
     0.01%  libc.so.6             [.] 0x0000000000075833
     0.01%  libc.so.6             [.] 0x0000000000069743
     0.01%  libc.so.6             [.] 0x0000000000075564
     0.01%  [unknown]             [k] 0xffffffffb8601c81
     0.01%  libc.so.6             [.] 0x00000000001b7f80
     0.01%  libc.so.6             [.] 0x0000000000075538
     0.01%  libc.so.6             [.] 0x000000000006b4dd
     0.01%  libc.so.6             [.] 0x000000000007569e
     0.01%  libc.so.6             [.] 0x00000000000754db
     0.01%  [unknown]             [k] 0xffffffffb8401280
     0.01%  nerd                  [.] lex_symbol
     0.01%  libc.so.6             [.] 0x000000000007658a
     0.01%  libc.so.6             [.] 0x0000000000076920
     0.01%  nerd                  [.] llvm_coerce_value_to_type
     0.01%  libc.so.6             [.] malloc
     0.01%  libc.so.6             [.] 0x0000000000076de9
     0.01%  nerd                  [.] llvm_prepare_render_sema
     0.01%  [unknown]             [k] 0xffffffffb9a120b4
     0.01%  libc.so.6             [.] 0x000000000006b500
     0.00%  libc.so.6             [.] 0x000000000006adc4
     0.00%  nerd                  [.] thread_entry
     0.00%  [unknown]             [k] 0xffffffffb8400084
     0.00%  [unknown]             [k] 0xffffffffb9a17b35
     0.00%  libc.so.6             [.] 0x00000000000be253
     0.00%  libc.so.6             [.] 0x000000000006ae85
     0.00%  [unknown]             [k] 0xffffffffb9a114ee
     0.00%  [unknown]             [k] 0xffffffffb8401630
     0.00%  libc.so.6             [.] 0x00000000001b8069
     0.00%  libc.so.6             [.] 0x00000000001b8038
     0.00%  libc.so.6             [.] 0x0000000000069723
     0.00%  [unknown]             [k] 0xffffffffb8401670
     0.00%  libc.so.6             [.] 0x00000000000bd24a
     0.00%  libc.so.6             [.] 0x0000000000076874
     0.00%  nerd                  [.] llvm_store_local_slot
     0.00%  libc.so.6             [.] 0x00000000001b1fe2
     0.00%  nerd                  [.] mem_stats_record_arena_done
     0.00%  [unknown]             [k] 0xffffffffb8401d22
     0.00%  libc.so.6             [.] 0x0000000000076814
     0.00%  nerd                  [.] llvm_program_function_symbol_conflicts
     0.00%  libc.so.6             [.] 0x00000000001b807d
     0.00%  [unknown]             [k] 0xffffffffb8400087
     0.00%  libc.so.6             [.] 0x0000000000076dae
     0.00%  libc.so.6             [.] __sysconf
     0.00%  libc.so.6             [.] 0x00000000001b15f0
     0.00%  libc.so.6             [.] 0x000000000006b4ea
     0.00%  libc.so.6             [.] 0x00000000000768f4
     0.00%  libc.so.6             [.] 0x0000000000076d15
     0.00%  libc.so.6             [.] 0x00000000001b805b
     0.00%  libc.so.6             [.] strnlen@plt
     0.00%  libc.so.6             [.] 0x00000000001b15e4
     0.00%  libc.so.6             [.] 0x00000000000bd31d
     0.00%  libc.so.6             [.] 0x000000000006b4a3
     0.00%  [unknown]             [k] 0xffffffffb8401642
     0.00%  libc.so.6             [.] 0x0000000000075504
     0.00%  libc.so.6             [.] 0x0000000000075842
     0.00%  libc.so.6             [.] 0x00000000000772e2
     0.00%  libc.so.6             [.] 0x000000000006b4b9
     0.00%  libc.so.6             [.] 0x00000000000772d7
     0.00%  libc.so.6             [.] 0x00000000001b15fb
     0.00%  libc.so.6             [.] 0x0000000000075838
     0.00%  libc.so.6             [.] 0x0000000000076924
